slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,S_FAD_mid_pot
-0.039943994399439936,3.267019090458234e-05,1.0035759316906478e-06,-3.369791617013895e-05,2.5199291257231993,-6.737168300641194e-05,4.394897939225839e-07,3.5641762110605394e-07,8.307217281652997e-08,-0.03988798879887987
-0.03992399239923994,3.271350308864385e-05,1.0029021098034718e-06,-3.374042528792032e-05,2.519988488131544,-6.745683048636764e-05,4.3987045339692163e-07,3.5672439169270754e-07,8.314606170421409e-08,-0.039847984798479875
-0.03990399039903991,3.273006545612134e-05,1.0003406032410567e-06,-3.369926518925759e-05,2.521305795807702,-6.742967124861998e-05,4.3942216561234406e-07,3.5635891768986814e-07,8.306324792247593e-08,-0.039807980798079824
-0.03988398839883989,3.2713959527086445e-05,9.988925171455776e-07,-3.370981016348473e-05,2.5207045095732146,-6.742266220771675e-05,4.394611975769554e-07,3.563886367669957e-07,8.307256080995968e-08,-0.03976797679767977
-0.03986398639863986,3.271519409508983e-05,9.965945082512917e-07,-3.3682607969209855e-05,2.521354138245614,-6.739439657255097e-05,4.3912496547965484e-07,3.561140410572038e-07,8.301092442245103e-08,-0.03972797279727972
-0.03984398439843986,3.273315732599258e-05,9.972522434509301e-07,-3.376250911268919e-05,2.519982669317731,-6.74929186821327e-05,4.400910835818858e-07,3.5689560665811545e-07,8.319547692377032e-08,-0.039687968796879726
-0.03982398239823984,3.261625670347712e-05,9.905926816600186e-07,-3.357439575557564e-05,2.5215133050683276,-6.718124514071278e-05,4.3782498771573265e-07,3.5505598719067337e-07,8.276900052505928e-08,-0.039647964796479675
-0.03980398039803981,3.2640755421198264e-05,9.8922889435471e-07,-3.357977743934093e-05,2.5219704783187322,-6.72097617548939e-05,4.3789510113478305e-07,3.551109389125222e-07,8.278416222226082e-08,-0.03960796079607962
-0.039783978397839787,3.2714269138978125e-05,9.908401636948838e-07,-3.370479466147103e-05,2.5208683457229615,-6.740990396414404e-05,4.392833340441878e-07,3.562348116873951e-07,8.304852235679265e-08,-0.03956795679567957
-0.03976397639763976,3.2685647681773844e-05,9.876189039914607e-07,-3.364035780539787e-05,2.521664043356219,-6.731362439116317e-05,4.3852917569812135e-07,3.5562132320657057e-07,8.290785249155078e-08,-0.03952795279527952
