slopeL,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,dG
0.0626262626262626,0.4674500280319634,0.7867846082553905,-0.6354979425745597,0.5278046088103672,0.1076933342836952,0.1999999999999999,-0.143940482618613
0.0666666666666666,0.3029785531360742,0.6043563298456825,-0.8273264881317033,0.5909081730696535,0.2364183152229024,0.1999999999999999,-0.0933084920251911
0.0707070707070707,0.2142786069406754,0.5039159700828175,-0.9922289229798906,0.6464548600606435,0.3457740618570035,0.1999999999999999,-0.0616882814468664
0.0747474747474747,0.1596399491286697,0.4403653241453809,-1.1354209165636746,0.6958795992786762,0.4395413174484623,0.1999999999999999,-0.0417724559814415
0.0787878787878788,0.123122191653744,0.3964694894196513,-1.2611310911631364,0.7403602956352877,0.5207707965130624,0.1999999999999999,-0.0294783410649835
0.0828282828282828,0.0973300630360409,0.3642344527992406,-1.372742189582823,0.7808469832999094,0.5918952048710153,0.1999999999999999,-0.0223637177994838
0.0868686868686868,0.0783729794934285,0.3394595263986611,-1.472929645890261,0.8180917341501264,0.6548379116667498,0.1999999999999999,-0.0188890811566824
0.0909090909090908,0.0640133549591069,0.3197345358604674,-1.5637972878877946,0.8526827980750724,0.7111144896709689,0.1999999999999999,-0.0180422395736101
0.0949494949494949,0.0528746157737737,0.3035842415290604,-1.6469893080038247,0.8850722896115855,0.7619170192037892,0.1999999999999999,-0.0191339428126059
0.0989898989898989,0.0440632528346201,0.2900584294530731,-1.7237906201432909,0.9156041868812076,0.8081864333675668,0.1999999999999999,-0.0216806029524136
0.103030303030303,0.0369728899850963,0.2785200914733311,-1.795202627761256,0.9445346982925996,0.8506679287704699,0.1999999999999999,-0.0253340794704004
0.107070707070707,0.0311758711698479,0.2685263101653813,-1.862014935261328,0.972054972109106,0.8899599628650563,0.1999999999999999,-0.0298381213873433
0.1111111111111111,0.0263599906829518,0.2597601385944206,-1.9248526844306328,0.99830430275372,0.9265483810490736,0.1999999999999999,-0.035000498613359
0.1151515151515151,0.0222898563361718,0.2519883773090067,-1.9842184994384129,1.0233831301500196,0.9608353700820976,0.1999999999999999,-0.0406746741499475
0.1191919191919191,0.0187822915418998,0.2450344990202823,-2.040528994840571,1.0473649379582923,0.9931640569874104,0.1999999999999999,-0.0467474354656772
0.1232323232323232,0.0156900595247703,0.2387623176553014,-2.094132796660631,1.0702998540510258,1.023832942536977,0.1999999999999999,-0.0531303613668791
0.1272727272727272,0.0128906530059147,0.2330632016547094,-2.1453408192011665,1.0922253375383768,1.053115481975485,0.1999999999999999,-0.0597538177541988
0.1313131313131313,0.0102782508081764,0.2278488969193729,-2.194436781671726,1.113167163943782,1.0812696171731773,0.1999999999999999,-0.0665626751929136
0.1353535353535353,0.0077576803119609,0.2230455605289956,-2.2416944719422247,1.1331440695955202,1.1085504020857329,0.1999999999999999,-0.0735132340182653
0.1393939393939394,0.0052396598857657,0.2185902154352345,-2.287385092704966,1.1521673050121493,1.1352177858837464,0.1999999999999999,-0.0805710288201195
0.1434343434343434,0.0026368727521813,0.2144267542018254,-2.3317985757984303,1.1702470440585806,1.161551531171856,0.1999999999999999,-0.0877093083393582
0.1474747474747474,0.0001394406081353,0.2105046218286254,-2.3752447605258595,1.1873881822472718,1.187856577661783,0.1999999999999999,-0.0949080551107013
0.1515151515151515,0.0031825439195053,0.2067767254441348,-2.418067115665252,1.203591943102417,1.2144751717754652,0.1999999999999999,-0.1021534748058159
0.1555555555555555,0.006593040329232,0.2031974808555315,-2.4606604271101276,1.218858655036147,1.2418017717819083,0.1999999999999999,-0.1094379161538842
0.1595959595959595,0.0104815136645784,0.1997221144522345,-2.5034784029587627,1.2331845470277472,1.270293854685011,0.1999999999999999,-0.1167602215687793
0.1636363636363636,0.0149709444154396,0.1963056539609846,-2.547048390157059,1.2465609978875278,1.3004873932877956,0.1999999999999999,-0.1241265357328665
0.1676767676767676,0.0201988083860811,0.1929018174066334,-2.59199216823923,1.2589754005234397,1.333016768160494,0.1999999999999999,-0.1315516241697785
0.1717171717171717,0.0263186674190297,0.1894622361491711,-2.639048341065859,1.2704111953290322,1.368637145693565,0.1999999999999999,-0.1390607867508191
0.1757575757575757,0.0335009675002198,0.1859363516038611,-2.689092238802502,1.280844855204638,1.4082473834989455,0.1999999999999999,-0.1466924813409801
0.1797979797979798,0.0419326491077177,0.18227122534086,-2.7431647486902477,1.2902451786460212,1.4529195694338846,0.1999999999999999,-0.1545018094554468
0.1838383838383838,0.0518150674696784,0.1784115911339041,-2.802508496181545,1.2985737403937634,1.503934756123698,0.1999999999999999,-0.162565058102569
0.1878787878787878,0.0633596220900178,0.174301071959755,-2.8685996845918,1.3057807860751076,1.562818897968608,0.1999999999999999,-0.1709855443251607
0.1919191919191919,0.0767804591577691,0.169883016893323,-2.9432017934287273,1.311808634037849,1.6313931594672688,0.1999999999999999,-0.1799010698909338
0.1959595959595959,0.0922836968973368,0.1651036336580225,-3.0284009431977523,1.3165839013263074,1.7118170431393551,0.1999999999999999,-0.1894933661416256
0.2,0.1100528611148779,0.1599143489136511,-3.1266737685680113,1.3200218695947292,1.806651899399192,0.1999999999999999,-0.2
