,pH1,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux
0,-0.276,-0.0616221944412842,0.0614351800539552,0.0001870649816193,0.7028142683854551,-0.12324443947685883,0.0040191983729408,0.0040182864660552,9.119068856502672e-07
1,-0.275954395439544,-0.0616773332835265,0.0614617711729934,0.0002155973218089,0.7021637049842584,-0.12335470177832897,0.0040181226076746,0.0040172097045314,9.12903143182413e-07
2,-0.2759087908790879,-0.0616832039918193,0.0614393211832364,0.0002439602854653,0.7015143810257579,-0.12336648546052122,0.0040138372872279,0.0040129241159207,9.13171307232542e-07
3,-0.2758631863186319,-0.0616231520234578,0.0613511245359177,0.0002720140340979,0.7008640714814387,-0.12324629059347347,0.0040052742750815,0.0040043618120774,9.12463004071898e-07
4,-0.2758175817581758,-0.0616385898760256,0.0613382346572208,0.0003003503836829,0.7002155949042201,-0.12327717491692947,0.0040016240281591,0.0040007111550091,9.128731499732976e-07
5,-0.2757719771977198,-0.0616693239895766,0.0613406194725172,0.0003287541602015,0.6995682926974331,-0.12333869762229543,0.0039989705460723,0.0039980570362448,9.135098274671454e-07
6,-0.2757263726372637,-0.061669545580699,0.0613126715258616,0.0003569834526522,0.6989216473490214,-0.12333920055921288,0.003994340643114,0.0039934269497294,9.136933846204008e-07
7,-0.2756807680768077,-0.0616224688156279,0.0612374842459502,0.0003848909697576,0.6982725974055908,-0.12324484403133584,0.00398665550255,0.0039857423255344,9.131770156263692e-07
8,-0.2756351635163516,-0.0615881852804278,0.0611754421691159,0.000412817587877,0.6976283468734189,-0.12317644503742087,0.0039798116037929,0.003978898752261,9.12851531894741e-07
9,-0.2755895589558956,-0.0616091426554845,0.0611681601158551,0.0004410763122233,0.6969831247190769,-0.12321837908356302,0.0039765426630393,0.0039756293187943,9.133442450521516e-07
10,-0.2755439543954395,-0.0616419138654293,0.0611726434704991,0.0004694168956715,0.6963389106443991,-0.12328397423160008,0.0039740380145408,0.0039731240035507,9.140109900854404e-07
11,-0.2754983498349835,-0.0616060781919287,0.0611088290474697,0.0004972095325241,0.6956925101481484,-0.12321211677192266,0.0039671157529363,0.0039662020914071,9.136615292556464e-07
12,-0.2754527452745274,-0.0616014417702075,0.0610762954649217,0.0005252076512047,0.6950500438129457,-0.1232029448863341,0.0039622121566601,0.0039612983820807,9.137745793656912e-07
13,-0.2754071407140714,-0.0616440118172931,0.0610904449531588,0.0005535952260959,0.6944067345998617,-0.123288051996548,0.0039603450675098,0.003959430480522,9.145869878604432e-07
