slopeL,slopeH
0.03834854634701335,-0.021301026778757205
-0.08678003547262592,-0.0005786495777479525
0.03298909626141203,-0.03323448322825674
0.011723369493331375,-0.031216986420711593
-0.08214809666224708,-0.0266039075146092
0.099,-0.03830536508742217
0.099,-0.099
0.099,0.099
0.016139507508058717,0.099
0.099,0.04532488159926033
0.099,0.005154207151316665
0.099,0.07663650752111201
0.099,-0.07067182028093139
-0.099,0.099
0.07481877223583369,-0.099
0.099,0.025620293351632618
0.08756129748565458,0.099
0.099,-0.01608096785231402
0.08728598476308821,0.05220575192599115
0.099,0.0894403499461343
0.0972445453960439,0.05905606476636621
0.08989405415273036,-0.0277306867823998
0.09139725339924816,0.01415751243704278
0.09817380899054429,-0.05688249975729822
0.008433471020898756,-0.09875787533517937
0.09895744887998398,0.06728705760903786
0.08627097896682911,-0.06847019368376003
-0.014032598200790319,0.04479747918350801
0.06132183403821009,0.07818174251997526
0.09781516320366772,-0.0060933172780764065
0.09826903039268509,-0.08968980169472118
0.09562485324011892,0.07405756350111256
0.09666614248847763,0.037261516965705926
0.062326179401443145,0.03065083651684401
0.0989955742590212,0.03499318672950971
