slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield
-0.17629412941294131,-0.00013125129764546273,7.830297175459577e-05,4.918984856572273e-05,0.15814645687039675,3864.822156584249
-0.1762861286128613,-0.00013145119233115565,7.837756745132651e-05,4.925970537805746e-05,0.15796970508725178,3859.685530115621
-0.1762781278127813,-0.00013150993693500368,7.850395128095045e-05,4.931777238970092e-05,0.1581772059493307,3856.0660031426714
-0.17627012701270128,-0.0001316254908516612,7.85917491956667e-05,4.938219100747432e-05,0.1581383958702219,3852.0885655904885
-0.17626212621262127,-0.0001317863790006868,7.869540973892697e-05,4.94507332251537e-05,0.15812480173064955,3847.1523010712176
-0.17625412541254126,-0.00013191783806121293,7.87774705335309e-05,4.9508692263389165e-05,0.15808977171337743,3843.13844791808
-0.17624612461246125,-0.0001321177571469434,7.884213166953202e-05,4.9579027852519886e-05,0.15786358391482658,3838.1981962044524
-0.17623812381238124,-0.00013215673324395993,7.896308949728592e-05,4.963371242405756e-05,0.15807905811413955,3835.0390891768925
-0.17623012301230123,-0.0001323305078528847,7.903410337561922e-05,4.970297109974098e-05,0.15790245063665956,3830.4257889157693
-0.17622212221222122,-0.00013239457881297767,7.912649121166737e-05,4.9758588882786725e-05,0.15796714585438248,3827.316692702389
-0.1762141214121412,-0.00013255008786927647,7.922412786953714e-05,4.982547571708018e-05,0.15793900579746425,3822.6344780249938
-0.1762061206120612,-0.00013273726337104108,7.932107993102733e-05,4.9895288219081735e-05,0.15787273623899847,3817.4695047862315
-0.1761981198119812,-0.0001328647151410678,7.939738282480846e-05,4.995609627367337e-05,0.15779707922297048,3813.6179028311412
-0.17619011901190118,-0.0001329996297698699,7.94941253294823e-05,5.002192688197127e-05,0.1577828727791319,3809.2962388096284
-0.1761821182118212,-0.00013304508809142135,7.959985588001928e-05,5.0076401448384544e-05,0.15792919507268768,3806.3142467621483
-0.1761741174117412,-0.0001332277170575935,7.967785419715767e-05,5.01374716510572e-05,0.1578283358215443,3801.6591845695934
-0.17616611661166118,-0.00013335095714239742,7.97491894850566e-05,5.0196641088851024e-05,0.15774214490561494,3797.9954433681587
-0.17615811581158117,-0.0001334493037603579,7.988210123066608e-05,5.0268705857448026e-05,0.15788264611150424,3793.625111845421
-0.17615011501150116,-0.00013361548013790525,7.995391310444688e-05,5.032781645653017e-05,0.15777384570723088,3789.3542002245554
-0.17614211421142115,-0.00013370732403927832,8.00625727368498e-05,5.0396107056371875e-05,0.1578279960245279,3785.4984573793645
-0.17613411341134114,-0.00013386602776677137,8.012591675665703e-05,5.045447990315033e-05,0.15768837035585653,3781.4842918310715
-0.17612611261126113,-0.0001339917948683933,8.021769393184996e-05,5.051404464206932e-05,0.15769454097916985,3777.525885200213
-0.17611811181118112,-0.00013412850925931252,8.030793162738803e-05,5.058155905901529e-05,0.15764083357360306,3773.3286048677146
-0.1761101110111011,-0.0001342785514850675,8.040280775478692e-05,5.06552031227514e-05,0.15756533356146257,3768.7983559288436
-0.17610211021102112,-0.00013436720993809104,8.051871246728126e-05,5.071109716858757e-05,0.1577289446066336,3765.1024909996536
-0.1760941094109411,-0.00013444788446292932,8.060856171798747e-05,5.0770302128633205e-05,0.15775738317640214,3761.8486715848467
-0.1760861086108611,-0.00013460502890438875,8.073476773251542e-05,5.0844020760942854e-05,0.15782469628874113,3756.8023848172834
-0.1760781078107811,-0.0001347381017922089,8.08158713434537e-05,5.090646103855789e-05,0.1577607472996738,3752.9023890510043
-0.17607010701070108,-0.00013483763611077393,8.090891886958218e-05,5.096098264933957e-05,0.15782026889512282,3749.4253401582837
-0.17606210621062107,-0.00013497094390402253,8.099658605420501e-05,5.102227731890174e-05,0.15779382568802494,3745.46133501652
