slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield
-0.12564906490649064,-0.009666241404801212,0.01103688284241855,-0.0013706539780227178,0.8093415793474181,45.30262059335404
-0.12564106410641063,-0.009657841723154093,0.011028406787715994,-0.001370598221620778,0.8094248803250319,45.33739623474596
-0.12563306330633062,-0.009651283483975703,0.011022056457463236,-0.0013708069849429627,0.8095086084070672,45.36351546465262
-0.12562506250625063,-0.009642840752718485,0.011013582272340727,-0.0013707520514611993,0.8095928378009614,45.3984678709862
-0.12561706170617062,-0.009638167443952739,0.01100938323870082,-0.0013712228457645192,0.8096763625254713,45.41579024414646
-0.1256090609060906,-0.009631978151873,0.011003425860664606,-0.0013714821958870083,0.8097601790280832,45.440322203201234
-0.1256010601060106,-0.009623368140452726,0.010994734603883671,-0.0013713967085908774,0.8098442184069711,45.47625115981794
-0.1255930593059306,-0.009615653949666125,0.010987108487086061,-0.0013714444370422907,0.8099289309949473,45.50789959079516
-0.12558505850585058,-0.009611261938630378,0.010983194059335233,-0.0013719500068924972,0.8100123250767952,45.52406068515893
-0.1255770577057706,-0.009604877303459602,0.010977041713374547,-0.0013721823480203899,0.8100967322025403,45.54957560690053
-0.1255690569056906,-0.009596185610391217,0.010968221598005812,-0.0013720752905796996,0.8101804668849745,45.58615995279312
-0.12556105610561058,-0.009589593830668264,0.010961881954798969,-0.0013722816544312622,0.8102655390434748,45.6126192210157
-0.12555305530553057,-0.009585447801356395,0.010958232047642014,-0.0013728263622618808,0.8103495074282395,45.627710473589026
-0.12554505450545056,-0.009578610670558874,0.010951573503774625,-0.0013729870605148076,0.8104339045878877,45.65548930234283
-0.12553705370537055,-0.009570054172328923,0.01094292078504111,-0.0013728982197722672,0.8105181139913595,45.69157428200782
-0.12552905290529054,-0.009564084769635883,0.010937285141309872,-0.0013731908394933878,0.8106033811127032,45.715203674657765
-0.12552105210521053,-0.009558806562736777,0.010932353286676744,-0.0013735741460170203,0.8106878331657225,45.735749641819915
-0.12551305130513052,-0.009552745208040392,0.010926551863903455,-0.0013738392315201242,0.8107720701564815,45.7600220908103
-0.1255050505050505,-0.009544077671804985,0.01091777426877627,-0.0013737312432988702,0.810856571046416,45.796807512713414
-0.1254970497049705,-0.009537739295240044,0.010911719961868016,-0.001373971526808404,0.8109423280766216,45.82230951225986
-0.1254890489048905,-0.009531754303822026,0.010905983101537231,-0.0013742503584133203,0.8110270082732264,45.8463488440469
-0.12548104810481048,-0.00952590735379033,0.010900419703006037,-0.0013745448205839672,0.8111115400512743,45.86972510202942
-0.12547304730473047,-0.009517084628953398,0.010891482614070469,-0.001374412558413196,0.8111964964222642,45.907401517859746
-0.12546504650465046,-0.009510929619921171,0.010885615286099437,-0.0013746749437477668,0.8112823057377033,45.93219888001081
-0.12545704570457045,-0.00950625486075296,0.010881380652378425,-0.0013751407676378946,0.8113672431948004,45.950019753851535
-0.12544904490449044,-0.009499456273204032,0.010874732984490265,-0.0013752957724364467,0.8114520858893741,45.978100107411535
-0.12544104410441043,-0.009490915510170339,0.010866099167031962,-0.0013752007379095321,0.8115372442404766,46.01463683746824
-0.12543304330433044,-0.0094844842516153,0.010859925450120045,-0.0013754203316838076,0.8116233278517097,46.04087593969902
-0.12542504250425043,-0.009479975121791995,0.010855858996947632,-0.0013759050986108523,0.8117082074481748,46.058032937355435
-0.12541704170417042,-0.009473789473886995,0.010849915258631881,-0.001376149160468465,0.8117935143690361,46.08325958928074
-0.1254090409040904,-0.009465060474767029,0.01084104903843297,-0.0013760204889736727,0.8118786808517574,46.1209299962572
-0.1254010401040104,-0.009458412640043434,0.01083458032536555,-0.001376200962657892,0.811964498193476,46.14846326631268
-0.1253930393039304,-0.009453508101984198,0.01083014081326894,-0.0013766368715497634,0.8120506560813906,46.167442564828775
-0.1253850385038504,-0.00944733980145429,0.010824206894326949,-0.0013768802624634091,0.8121361374931347,46.19273270657465
-0.1253770377037704,-0.009438711898965835,0.01081543897720394,-0.0013767627243590486,0.8122215144099411,46.23013241454362
-0.1253690369036904,-0.009432224849803106,0.01080916357321371,-0.0013769639655432098,0.81230762710409,46.2569941513757
-0.12536103610361038,-0.009427694908069384,0.010805130247319994,-0.001377450478362574,0.8123938003001698,46.27428251947664
-0.12535303530353037,-0.00942121416656505,0.0107988531526928,-0.001377646798858656,0.812479670008378,46.30119625304162
-0.12534503450345036,-0.009412548130839582,0.010790058326620056,-0.001377522455677127,0.8125655460964993,46.338926149382566
-0.12533703370337035,-0.009406194520408917,0.010783909047646034,-0.0013777401235648412,0.8126517912235849,46.36532118361703
-0.12532903290329034,-0.009401779744081296,0.010779994061593356,-0.0013782405409354936,0.8127380812697395,46.382158375382936
-0.12532103210321033,-0.009395108547082032,0.01077349868977251,-0.0013784072865319352,0.8128242834707781,46.41014182798412
-0.12531303130313032,-0.009386335420671799,0.010764577886504867,-0.0013782626239966511,0.812910350255398,46.448596230385355
